Title,Day,Tags,Description,Speakers,PDF URL,Video URL
Massive Computing in Cloud and kakao,day1 (8/29),"HPC, MPC, AI, 딥러닝, DL, ReinfrocementLearning, 클라우드, CloudNative","클라우드 네이티브환경에서의 대규모 분산처리시에 고려할 점, 기술적인 주요 마일스톤 및 해결 방법에 대한 이야기, 그리고 카카오 클라우드에서의 사례 

- Massively Parallel Computing(MPC) Categories  
- Generations of MPC 
- Cloud Native way of tackling technical Issues in MPC  
- Application Case with Cloud Native MPC for AI(DL, RN) in Kakao",공용준(andrew.kong) <카카오>,https://mk.kakaocdn.net/dn/if-kakao/conf2019/%EB%B0%9C%ED%91%9C%EC%9E%90%EB%A3%8C_2019/T01-S03.pdf,https://mk.kakaocdn.net/dn/if-kakao/conf2019/conf_video_2019/1_101_03_m1.mp4
Microservice에서 쏟아지는 로그를 Perl5를 사용하여 로그수집기들로  잘 보내고 활용하기,day1 (8/29),"perl, 대용량로그, fluentd, Postgresql, 노하우","서비스들의 아키텍쳐가  MSA로 변경이 되면서 로그 데이터의양이 많아지고 수집과 관리가 어려워 지고 있습니다.
하지만 현재 Fluentd/Kafka/Logstash...등 검증된 로그수집기들이 많이 있습니다.
이 세션에서는 쏟아지는 로그 데이터를 Perl5를 활용하여 로그수집기로 보내고 수집/분석/활용한 경험을 공유 하고자 합니다.",강윤창(perl.kang) <카카오>,https://mk.kakaocdn.net/dn/if-kakao/conf2019/%EB%B0%9C%ED%91%9C%EC%9E%90%EB%A3%8C_2019/T03-S03.pdf,https://mk.kakaocdn.net/dn/if-kakao/conf2019/conf_video_2019/1_102_03_m1.mp4
"Practical Microservices in gRPC Go feat. GraphQL, Kafka(서포터즈 기사 개발기)",day1 (8/29),"백엔드, 비동기, MSA","카카오 T 대리 서포터즈 기사 기능을 개발하면서 Legacy 코드들로부터 독립적이고 효율적으로 작업하기 위해 도입한 Microservices Architecture 를 소개한다. 
기존 Ruby on Rails, Java 등이 주류인 개발 환경으로부터 Go 언어를 선택하게 된 배경. RESTFul 이 아닌 gRPC 서비스가 어떠한 사유로 필요했는지. 서비스 수가 많아지면서 GraphQL을 API Gateway 기술로 선정하게 된 이유. 왜 Kafka 를 통한 비동기 이벤트 처리를 하는지. 다른 대안들은 없었는지. 이 모든 것을 어떻게 모니터링하고 운영하는지 등 실제 프로젝트의 설계부터 개시, 운영까지의 경험을 공유한다.","강태훈(travis.kang) <카카오모빌리티>, 김민영(zest.ly) <카카오모빌리티>, 문주성(ether.moon) <카카오모빌리티>, 양진선(david.y) <카카오모빌리티>, 이하건(brian.lee) <카카오모빌리티>",https://mk.kakaocdn.net/dn/if-kakao/conf2019/%EB%B0%9C%ED%91%9C%EC%9E%90%EB%A3%8C_2019/T02-S03.pdf,https://mk.kakaocdn.net/dn/if-kakao/conf2019/conf_video_2019/1_103_03_m1.mp4
프론트엔드 기술로 동료들 삶의 질 높여주기 (카카오뱅크 Fun 프로젝트 개발기),day1 (8/29),"카카오뱅크, 웹, 프론트엔드, 업무효율화, Three.js, Creative","3년 전 카카오뱅크, 아무것도 없다는 말에 와봤는데 정말 아무것도 없었다.
맨땅 일구며 함께 일하는 동료들이 좀 더 즐겁고 편하게 일하도록 도울 순 없을까? 
자잘하게 혹은 큼직하게, 카카오뱅크가 일하는 방식을 바꿔나간 재미있고 소중한 프론트엔드 프로젝트 개발 경험을 공유한다.

- 프론트엔드 기술로 조직에 기여하기
- 카카오뱅크 유연근로제 서비스 - “WorkOn”
- 고객센터 신분증 검수업무를 게임처럼 - “OCR Slayer”
- 헤매지말고 3D로 찾아보자! 카카오뱅크 오피스 검색서비스 - “Floor!""",조규태(cavin.wow) <카카오뱅크>,https://mk.kakaocdn.net/dn/if-kakao/conf2019/%EB%B0%9C%ED%91%9C%EC%9E%90%EB%A3%8C_2019/T04-S03.pdf,https://mk.kakaocdn.net/dn/if-kakao/conf2019/conf_video_2019/1_104_03_m1.mp4
카카오뱅크 모바일앱 DevOps,day1 (8/29),"카카오뱅크, DevOps, 개발환경, 모바일","- 카카오뱅크 모바일앱의 개발부터 테스트, 배포, 운영에 이르는 전 구간을 자동화하여 배포를 효율화하고 안정성을 높인 환경을 소개 
- '개발 - 테스트 - 배포 - 운영' 자동화 및 안정성 개선을 위한 노력들을 흐름 순으로 소개",박이랑(bernard.park) <카카오뱅크>,https://mk.kakaocdn.net/dn/if-kakao/conf2019/발표자료_2019/T05-S03.pdf,https://mk.kakaocdn.net/dn/if-kakao/conf2019/conf_video_2019/1_105_03_m1.mp4
카카오톡 적용 사례를 통해 살펴보는 카카오 클라우드의 Kubernetes as a Service,day1 (8/29),"클라우드, 쿠버네티스, k8s, 컨테이너, 대규모, 카카오톡, 실서비스, 운영, 사례","카카오 프라이빗 클라우드의 KaaS(Kubernetes as a Service) DKOSv3 를 소개 하고,
카카오톡에 적용된 쿠버네티스 사례와 서비스 운영에 대해 공유합니다.

- 서비스 중단 없는 쿠버네티스 기반 컨테이너 클라우드 운영 (dennis.hong)
  * 카카오의 Kubernetes as a Service, DKOSv3 소개
  * 사내 인증과 통합된 쿠버네티스 멀티 클러스터 CI/CD 서비스 제공
  * 자동화된 쿠버네티스 클러스터의 라이프사이클 관리 기능을 통한 무중단 운영
  * Custom Controller, Custom Resource Definition 을 통한 On-premise 환경에서의 쿠버네티스와 물리 인프라 자원 통합

- 서비스 중단 없는 쿠버네티스 기반 카카오톡 백엔드 배포 및 운영 (greg.47)
  * 카카오톡 메시징 운영 
  * 카카오톡 메시징 배포의 어제와 오늘 그리고 내일 
  * Redis와 Kubernetes 그리고 카카오톡","김수범(greg.47) <카카오>, 홍석용(dennis.hong) <카카오>",https://mk.kakaocdn.net/dn/if-kakao/conf2019/%EB%B0%9C%ED%91%9C%EC%9E%90%EB%A3%8C_2019/T01-S04.pdf,https://mk.kakaocdn.net/dn/if-kakao/conf2019/conf_video_2019/1_101_04_m1.mp4
Airflow를 활용하여 아름다운 데이터 파이프라인 구성하기,day1 (8/29),"데이터, 파이프라인, 대용량, 노하우, Airflow","Airflow는 데이터 파이프라인을 생성하고 관리하기 위한 플랫폼으로, 2015년 Airbnb에 의해 소개된 이후 급성장하여 2018년말에는 Apache Top-Level 프로젝트로 지정되었다. 먼저 Airflow와 같은 workflow management tool이 왜 필요한지에 대해 살펴보고, 유사한 기능을 하는 Oozie, Azkaban, AWS Data Pipeline 등과 장단점을 비교하여 카카오페이지가 Airflow를 선택한 이유에 대해 설명한다. 그리고 Airflow에 익숙하지 않은 데이터 엔지니어를 위해 주요 개념 및 구조에 대해서 설명하고, 기본적인 활용법을 소개한다. 또한 해당 플랫폼의 가용성을 높게 유지하려면 어떠한 구성을 취하면 되는지 살펴본다. 마지막으로, Airflow를 활용하는 카카오페이지의 고유한 방식에 대하여 소개를 하고 끝을 맺는다.",최주원(brandon.hg) <카카오페이지>,https://mk.kakaocdn.net/dn/if-kakao/conf2019/%EB%B0%9C%ED%91%9C%EC%9E%90%EB%A3%8C_2019/T03-S04.pdf,https://mk.kakaocdn.net/dn/if-kakao/conf2019/conf_video_2019/1_102_04_m1.mp4
돈이 오고가는 금융프로젝트인 펌 뱅킹 서비스에서의 코틀린 적용 사례,day1 (8/29),"핀테크, 코틀린, 실서비스","금융 프로젝트인 펌 뱅킹 서비스에서 코틀린을 왜 적용 했는지, 신기술을 적용할때의 간단한 방법론 및 적용 과정 그리고 코틀린을 경험하면서 있었던 이슈 사항들 및 해결 방안에 대한 내용을 공유합니다.",강현식(kaka.wesome) <카카오페이>,https://mk.kakaocdn.net/dn/if-kakao/conf2019/%EB%B0%9C%ED%91%9C%EC%9E%90%EB%A3%8C_2019/T02-S04.pdf,https://mk.kakaocdn.net/dn/if-kakao/conf2019/conf_video_2019/1_103_04_m1.mp4
안드로이드 빌드: 설탕 없는 세계,day1 (8/29),"Android, TransformAPI, 빌드과정분석","안드로이드 빌드를 조금 더 심도있게 이해하기 위해 코드를 변조하는 트랜스폼 과정을 살펴봅니다.  

- 트랜스폼의 필요성 
- 트랜스폼 API  
- 구글이 구현한 실제 트랜스폼의 예 
- 써드 파티 트랜스폼의 예",김용욱(leonardo.kim) <카카오뱅크>,https://mk.kakaocdn.net/dn/if-kakao/conf2019/%EB%B0%9C%ED%91%9C%EC%9E%90%EB%A3%8C_2019/T04-S04.pdf,https://mk.kakaocdn.net/dn/if-kakao/conf2019/conf_video_2019/1_104_04_m1.mp4
자동화된 클라우드를 위하여,day1 (8/29),"클라우드, DevOps, SRE, 자동화","Krane은 지난 4년여의 세월을 지나면서 카카오의 중요한 인프라 서비스 중 하나가 되었습니다. 카카오의 다양한 서비스들이 Krane을 통해서 제공되고 있고, 지금도 개발되고 있습니다. 점점 서비스의 스케일이 확장되고 중요도가 높아진 Krane을 개발하고 운영하기 위해서 극복해야 할 문제 역시 증가하고 있습니다.
지금까지 우리가 겪어온 문제들과 해결해가고 있는 경험에 관해서 이야기하고자 합니다. 그리고 우리가 만들어낼 더욱 발전된 Krane에 대해서도 소개하고자 합니다.","이주원(ashon.lee) <카카오>, 정기훈(lev.jung) <카카오>",https://mk.kakaocdn.net/dn/if-kakao/conf2019/%EB%B0%9C%ED%91%9C%EC%9E%90%EB%A3%8C_2019/T05-S04.pdf,https://mk.kakaocdn.net/dn/if-kakao/conf2019/conf_video_2019/1_105_04_m1.mp4
클라우드 환경에서의 Serverless Service 개발,day1 (8/29),"serverless, 클라우드","클라우드 환경에서의 Serverless Service 개발 방법에 대해서 설명합니다.

- Serverless 아키텍쳐
- 보안 및 데이터 처리
- 적용 사례 : 카카오게임 사전예약 서비스",김준휘(james.j) <카카오게임즈>,https://mk.kakaocdn.net/dn/if-kakao/conf2019/%EB%B0%9C%ED%91%9C%EC%9E%90%EB%A3%8C_2019/T01-S05.pdf,https://mk.kakaocdn.net/dn/if-kakao/conf2019/conf_video_2019/1_101_05_m1.mp4
광고 데이터 처리 시스템 소개,day1 (8/29),"ADTECH, 데이터, 파이프라인, 데이터엔지니어링","광고의 시작에서 끝, 그 사이에는 여러 데이터가 있고 광고시스템 내의 서로 다른 시스템간 데이터를 연결하기 위해 우리가 하고 있는 노력, 시행착오 그리고 앞으로 해결해야 할 일들에 대해 소개합니다.",박성훈(k.ey) <카카오>,https://mk.kakaocdn.net/dn/if-kakao/conf2019/%EB%B0%9C%ED%91%9C%EC%9E%90%EB%A3%8C_2019/T03-S05.pdf,https://mk.kakaocdn.net/dn/if-kakao/conf2019/conf_video_2019/1_102_05_m1.mp4
광고서버 연대기,day1 (8/29),"광고비즈니스입문, ADTECH, ADSERVING, ADSERVER","우선 온라인 광고는 구글, 페이스북, MS, 아마존 등 우리가 익히 알고 있는 세계적인 공룡 기업부터 AI, AR, VR 등의 신기술과 함께 새롭게 도전하는 벤처까지 다양한 기업들이 많은 투자와 도전을 지속적으로 하고 있어 앞으로가 더 기대되는 분야입니다.
그래서 본 세션에서는 전지적(?) 광고서버 시점에서 조금은 생소할 수 있는 광고 도메인에 대한 기초적인 설명과 함께 카카오의 광고서버가 어떤 식으로 온라인 광고 생태계와 함께 발전해 왔는지 살펴보고 카카오의 광고서버가 바라보는 미래에 대한 이야기도 조금 풀어보고자 합니다. ",김진욱(bosco.j) <카카오>,https://mk.kakaocdn.net/dn/if-kakao/conf2019/발표자료_2019/T02-S05.pdf,https://mk.kakaocdn.net/dn/if-kakao/conf2019/conf_video_2019/1_103_05_m1.mp4
다음웹툰의 UX (New tab : Top),day1 (8/29),"Android, UX, CustomView","다음웹툰 앱의 새로운 UX 에 대한 소개와 개발 과정 및 팁을 공개합니다.
2018 if Kakao 에서 다음웹툰의 NEXT 미션으로 선 공개 했던 메인 TOP메뉴를 
어떻게 다음웹툰 UX 철학(Creative, Natural, Focusing, Meaningful)에 맞게 디자인 되고 개발(구현 및 튜닝)되었는지 그 과정을 소개하도록 하겠습니다. 

- New tab : Top UX 소개
- 구현 및 튜닝 과정
- 다음웹툰의 Next",함태윤(erkas.c) <카카오페이지>,https://mk.kakaocdn.net/dn/if-kakao/conf2019/%EB%B0%9C%ED%91%9C%EC%9E%90%EB%A3%8C_2019/T04-S05.pdf,https://mk.kakaocdn.net/dn/if-kakao/conf2019/conf_video_2019/1_104_05_m1.mp4
카카오 애플리케이션 모니터링 NEO,day1 (8/29),"APM, 애플리케이션맵, 성능, 트러블슈팅, 카산드라","NEO는 카카오에서 자바 애플리케이션 서버 개발자들이 사용하는 성능 모니터링/분석 서비스입니다. 사내에 오픈 한지 일 년을 넘긴 현재 수백 개의 서비스에서 수천 개의 인스턴스가 사용하고 있습니다. MSA와 애플리케이션 컨테이너화의 흐름 속에서 NEO가 진화해온 과정과 현재의 모습을 보여드리고 운영 과정에서 겪었던 시행착오, 활용 사례 등을 공유하려고 합니다.",김은수(bill.23) <카카오>,https://mk.kakaocdn.net/dn/if-kakao/conf2019/%EB%B0%9C%ED%91%9C%EC%9E%90%EB%A3%8C_2019/T05-S05.pdf,https://mk.kakaocdn.net/dn/if-kakao/conf2019/conf_video_2019/1_105_05_m1.mp4
블록체인 제품 생태계를 구성해보자,day2 (8/30),"컨텍스트, 일정지옥, 따로또같이, 빅픽쳐","그라운드엑스가 블록체인을 통해 세상에 기여하고 싶은 메세지가 있습니다. 그것을 이뤄내기 위해 어떤 제품들을 기획했고, 1년반동안 제품을 만들면서 PM/Designer/Data scientist/Engineer 들과 어떻게 협업을 하였는지 공유하고자 합니다. 그리고 메인넷을 출시한 다음에 어떤 제품로드맵과 방향을 가지고 있는지 공유할 예정입니다.",윤준식(chofa.gx) <그라운드X>,https://mk.kakaocdn.net/dn/if-kakao/conf2019/%EB%B0%9C%ED%91%9C%EC%9E%90%EB%A3%8C_2019/T06-S01.pdf,https://mk.kakaocdn.net/dn/if-kakao/conf2019/conf_video_2019/2_101_01_m1.mp4
"처음 설치부터 클러스터 관리까지, 3000대의 운영 노하우로 만든 카카오 Elasticsearch 운영 방법론 소개와 자동화 솔루션 시연",day2 (8/30),"ElasticSearch, 설치부터_관리까지, 3000대_운영노하우, 자동화_솔루션, 다양한실험","카카오에서는 ElasticSearch 검색엔진부터 분석엔진까지 3000개 넘는 노드를 운영하고 있습니다.
이렇게 많은 노드들을 잘 운영하려면 무엇이 필요할까요?
레퍼런스 문서에 나오지 않는 검색 엔진 클러스터 최적의 성능을 찾아가는 방법, 초당 수억건의 문서를 저장하는 분석엔진 운영 방법, 장기간의 데이터를 가성비를 고려하여 보관하는 방법, ansible 이나 Elastic Stack, 스크립트 등을 활용하여 손쉽게 운영할 수 있는 방법까지!
200개가 넘는 클러스터의 레퍼런스를 바탕으로 로그분석, 메일검색, 카카오톡 # 탭 등의 클러스터 특성별 최적화 방안과 운영 노하우, 그 외에 카카오에서 ElasticSearch 를 대상으로 하고 있는 다양한 실험들을 최초로 공개합니다.",박상헌(benjamin.butn) <카카오>,https://mk.kakaocdn.net/dn/if-kakao/conf2019/%EB%B0%9C%ED%91%9C%EC%9E%90%EB%A3%8C_2019/T07-S01-Benjamin.pdf,https://mk.kakaocdn.net/dn/if-kakao/conf2019/video_2019/33_m1.mp4
둥꿍둥꿍 느낌 아는 음악 바텐더,day2 (8/30),"CollaborativeFiltering, ContentBasedFiltering, 머신러닝, ML","어떤 곡의 느낌을 너무 좋아해서 그런 곡들만 계속 듣고 싶었던 적 있으신가요? 바텐더에게 새로운 칵테일을 추천받듯, 마음에 드는 곡 몇 개와 키워드를 가지고 취향에 맞는 음악을 추천받을 수 있다면 좋지 않을까요? 이번 발표에서는 어떤 곡이 어떤 곡들과 비슷한지, 어떤 키워드들과 어울리는지를 표현하는 방법들을 알아보고, 이를 활용한 멜론 자동 플레이리스트 생성 기술에 대해 공유합니다. ",전재호(jay.jh) <카카오>,https://mk.kakaocdn.net/dn/if-kakao/conf2019/%EB%B0%9C%ED%91%9C%EC%9E%90%EB%A3%8C_2019/T08-S01.pdf,https://mk.kakaocdn.net/dn/if-kakao/conf2019/conf_video_2019/2_103_01_m1.mp4
금융사기 잡는 카카오뱅크의 데이터 사이언스,day2 (8/30),"카카오뱅크, FDS, AI, 데이터사이언스","금융사기란 어떤 문제이고 은행에서 이를 어떻게 다루고 있는지 소개한다. 기존의 방식이 갖는 한계와 문제점을 파악하여, 카카오뱅크에서 데이터 사이언스를 활용해 금융사기 문제를 어떻게 해결하고 있는지 소개한다.

- 금융사기란?
- 은행은 금융사기 문제를 어떻게 다루고 있나?
- 기존 방식의 한계와 문제점은?
- 카카오뱅크의 데이터 사이언스 소개
- 카카오뱅크에서는 금융사기 문제를 어떻게 접근하고 있나?
- 카카오뱅크의 다른 데이터 사이언스 과제들",전상현(ali.jeon) <카카오뱅크>,https://mk.kakaocdn.net/dn/if-kakao/conf2019/%EB%B0%9C%ED%91%9C%EC%9E%90%EB%A3%8C_2019/T09-S01-Ali.pdf,https://mk.kakaocdn.net/dn/if-kakao/conf2019/conf_video_2019/2_104_01_m1.mp4
성인 이미지 세계에서 살아남는 방법,day2 (8/30),"이미지, 스팸, 딥러닝, DL","카카오에서는 하루에도 수많은 이미지가 생성, 유통됩니다.
이 과정에서 특정 사용자들에 의한 음란/성인 이미지 유통 역시 이루어집니다.
처음, 많은 인력을 동원하여 일일이 사람 손으로 이미지를 검수 하던 단계를 지나,
이미지 레벨 시스템을 통해 훨씬 적은 리소스로 더 많은 이미지를 검수 하게 되었습니다.
이렇게 되기까지 무슨 일이 있었을까요?
'하늘색(파란색) 이미지는 성인 이미지일 확률이 낮다!' 과연 정말 그럴까요?
이 발표에서는 이미지 분석의 다양한 실험 사례와 스팸 분류기에 딥러닝을 적용한 사례를 다룹니다.",오창화(herschel.alway) <카카오>,https://mk.kakaocdn.net/dn/if-kakao/conf2019/%EB%B0%9C%ED%91%9C%EC%9E%90%EB%A3%8C_2019/T10-S01.pdf,https://mk.kakaocdn.net/dn/if-kakao/conf2019/conf_video_2019/2_105_01_m1.mp4
